#            620002
GDS 12.6 1
XJP 20 1
#            620003
GDS 13 1
XJP 20.7 1
#            620004
HMS 16.9 1
HWS 18.3 1
WMP 25.6 1
YGD 22.8 1
#            620005
HMS 10.6 1
HWS 14.6 1
WMP 2 1
XJP 11.7 1
YGD 15.2 1
YZP 23.01 1
#            620006
GDS 13.5 1
XJP 21.7 1
#            620007
GDS 13.7 1
HMS 18.57 1
MEK 22 1
WMP 22.24 1
XJP 13.5 1
YGD 12.5 1
YZP 10.4 1
#            620010
HMS 23.69 1
JJS 10.79 1
MEK 20.5 1
YGD 15.6 1
YZP 5.2 1
ZJG 16.3 1
#            620011
GDS 13.1 1
XJP 21.93 1
#            620012
GDS 16.7 1
HMS 21.8 1
JJS 16.5 1
MEK 16 1
XJP 20.7 1
YGD 14.7 1
YZP 5.6 1
ZJG 20.8 1
#            620013
HMS 14.9 1
JJS 14 1
YZP 6.8 1
#            620014
GDS 13 1
XJP 18.3 1
#            620015
GDS 13.4 1
XJP 20.4 1
#            620016
GDS 13.31 1
HMS 41.82 1
XJP 20.93 1
YZP 36.98 1
#            620017
GDS 13.4 1
XJP 19.2 1
#            620019
GDS 13.7 1
XJP 21.35 1
#            620020
GDS 13.7 1
#            620022
GDS 13.4 1
XJP 19.8 1
#            620023
GDS 13.1 1
XJP 20.5 1
#            620024
EMS 55.32 1
GDS 70.84 1
MDS 59.07 1
XJP 51.4 1
YGD 60.06 1
#            620026
GDS 13.3 1
#            620027
GDS 13.7 1
#            620029
GDS 13 1
XJP 20.33 1
#            620031
EMS 41.53 1
HMS 53.79 1
MDS 43.08 1
XJP 31.41 1
#            620033
HMS 32.29 1
HWS 27.76 1
WMP 21.7 1
XJP 20.67 1
#            620034
GDS 13.3 1
#            620037
GDS 11.8 1
#            620039
GDS 11.5 1
#            620040
GDS 10.9 1
XJP 10.9 1
#            620041
GDS 13.77 1
HMS 41.42 1
WMP 33.98 1
XJP 20.55 1
#            620044
XJP 20.6 1
#            620046
HMS 38.1 1
HWS 53.24 1
JJS 25.61 1
LZZ 58.1 1
MDS 22.81 1
WMP 38.13 1
YGD 29.01 1
ZJG 26.41 1
#            620047
MEK 8.8 1
#            620048
EMS 21.22 1
GDS 21.38 1
HMS 31 1
JJS 40.1 1
LZZ 53.99 1
MDS 23.65 1
MEK 44.88 1
XJP 12.27 1
YGD 32.78 1
YZP 34.49 1
ZJG 48.16 1
#            620049
GDS 22.2 1
MEK 14.4 1
#            620050
HMS 20 1
JJS 14 1
MEK 20.4 1
YGD 12.3 1
YZP 3.3 1
ZJG 20.44 1
#            620054
HMS 19.97 1
LZZ 5.8 1
WMP 25.5 1
#            620056
HMS 21.3 1
HWS 15.4 1
WMP 13.8 1
XJP 20.1 1
#            620058
MDS 42.05 1
XJP 31.52 1
YZP 51.1 1
#            620064
GDS 12.8 1
XJP 20.1 1
#            620065
GDS 13 1
MEK 33.5 1
WMP 30.5 1
XJP 21 1
#            620066
GDS 12.7 1
XJP 20.1 1
#            620067
GDS 13 1
XJP 20.72 1
#            620068
GDS 12.9 1
XJP 19.7 1
#            620071
HMS 14 1
HWS 13.5 1
LZZ 6.7 1
#            620072
HWS 53.62 1
MDS 43.84 1
WMP 39.47 1
XJP 34.38 1
YZP 58.81 1
#            620073
HMS 14.1 1
HWS 14.3 1
JJS 23.9 1
LZZ 6.2 1
WMP 21.1 1
YZP 27.9 1
#            620074
JJS 20.4 1
MEK 17.4 1
YTS 24.4 1
YZP 18.3 1
ZJG 12.3 1
#            620075
GDS 12.3 1
XJP 20.3 1
#            620078
GDS 4 1
HMS 25.19 1
JJS 31.24 1
MEK 24 1
XJP 10.1 1
YGD 22.26 1
YZP 18.25 1
#            620079
HWS 53.64 1
MDS 41.67 1
WMP 40.26 1
XJP 31.01 1
#            620080
EMS 41.61 1
GDS 37.07 1
MDS 42.04 1
MEK 62.12 1
XJP 28.31 1
YZP 56.92 1
ZJG 80.96 1
#            620081
GDS 12.6 1
XJP 20.1 1
#            620082
EMS 38.98 1
GDS 34.29 1
MDS 43.04 1
MEK 59.96 1
WMP 37.6 1
XJP 27.39 1
YZP 59.24 1
#            620084
GDS 25.7 1
HWS 13.6 1
XJP 12.6 1
#            620085
MEK 14.4 1
YZP 6.1 1
#            620087
HMS 16.65 1
JJS 20.77 1
LZZ 35.61 1
MDS 6.23 1
YGD 17.3 1
YTS 37.12 1
YZP 9.79 1
ZJG 24.67 1
#            620088
EMS 40.72 1
HWS 57.63 1
MDS 43.01 1
#            620089
EMS 40.98 1
MDS 42.12 1
WMP 40.3 1
XJP 32.22 1
YZP 57.88 1
#            620090
MDS 40.26 1
WMP 40.24 1
XJP 31.06 1
#            620093
GDS 11.23 1
HMS 19.26 1
XJP 8 1
YGD 17.04 1
#            620094
GDS 6.7 1
MEK 20.7 1
#            620095
XJP 50.2 1
#            620098
GDS 6.7 1
MEK 19.3 1
XJP 19.6 1
YZP 23.4 1
#            620099
GDS 12.9 1
XJP 19.6 1
#            620104
GDS 21.7 1
HMS 31.8 1
JJS 22.8 1
MEK 5.79 1
XJP 29.85 1
YGD 24.56 1
YZP 13 1
#            620105
GDS 26.1 1
MEK 3.2 1
YZP 23.06 1
#            620106
YZP 22.3 1
#            620107
GDS 18.9 1
HMS 20.9 1
JJS 14.6 1
MEK 18.1 1
XJP 21.5 1
YZP 3.8 1
ZJG 20.4 1
#            620109
GDS 9.3 1
HMS 19.4 1
WMP 16 1
XJP 7.8 1
#            620110
HMS 17.9 1
HWS 5.3 1
LZZ 22.4 1
WMP 14.7 1
XJP 26.8 1
YGD 26.1 1
#            620111
HMS 12.1 1
HWS 12.5 1
JJS 23.4 1
LZZ 8.2 1
WMP 19.3 1
YGD 19.4 1
#            620112
GDS 12.5 1
XJP 19.9 1
#            620114
GDS 24.3 1
HWS 13.4 1
XJP 13 1
#            620115
GDS 15.3 1
HMS 13.5 1
HWS 22 1
JJS 22.9 1
WMP 10.2 1
XJP 7.1 1
YZP 16.2 1
#            620117
GDS 15.2 1
HMS 13.5 1
HWS 22.4 1
WMP 10.1 1
XJP 7.1 1
YGD 12.8 1
YZP 16.9 1
#            620118
HMS 14.5 1
HWS 15.1 1
LZZ 7.9 1
WMP 21 1
#            620120
MEK 29.6 1
YTS 18.69 1
ZJG 15.9 1
#            620121
HMS 8.5 1
HWS 7.4 1
JJS 25.5 1
LZZ 17.4 1
WMP 11.5 1
XJP 22.6 1
YGD 16.8 1
YZP 25 1
#            620122
HMS 5.7 1
HWS 12.8 1
LZZ 22.7 1
WMP 5.8 1
XJP 14.9 1
YGD 11.6 1
YZP 21.4 1
#            620123
GDS 33.5 1
HMS 20.5 1
HWS 13.3 1
LZZ 31.6 1
WMP 12.8 1
XJP 20 1
YGD 28.1 1
YZP 35.4 1
#            620124
GDS 27.9 1
MEK 8.3 1
XJP 41.96 1
YZP 29.4 1
ZJG 35.86 1
#            620125
HMS 9.1 1
HWS 8.1 1
JJS 25.9 1
LZZ 17.8 1
WMP 11.6 1
XJP 22.8 1
YGD 17.4 1
YZP 26.1 1
#            620126
GDS 13.4 1
HMS 19.3 1
JJS 17.9 1
MEK 19.8 1
WMP 20.5 1
XJP 15.8 1
YGD 13.2 1
YZP 8.5 1
#            620127
GDS 13.5 1
HMS 19.2 1
JJS 18.1 1
MEK 20.2 1
WMP 20.9 1
XJP 15.8 1
YGD 13.1 1
YZP 8.5 1
ZJG 24.5 1
#            620128
GDS 12.8 1
XJP 18.3 1
#            620129
HWS 28.1 1
WMP 23.3 1
